"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Ligue 1","2018-12-05","Ligue 1 (Matchweek 16)","Dijon","4-2-3-1",58,379,485,78,19,2,9,605,12,15,24,27,1,3,28,98,"7","1","Guingamp","4-2-3-1",42,235,358,66,17,9,31,453,21,5,41,9,2,8,21,84,"1","0","https://fbref.com/en/matches/29e1a215/Dijon-Guingamp-December-5-2018-Ligue-1"
"Ligue 1","2019-01-13","Ligue 1 (Matchweek 20)","Dijon","4-3-3",41,253,378,67,21,3,12,506,12,9,23,35,0,6,29,96,"2","0","Montpellier","3-4-1-2",59,414,541,77,14,7,27,663,18,9,35,24,2,10,26,104,"0","0","https://fbref.com/en/matches/e60b1718/Dijon-Montpellier-January-13-2019-Ligue-1"
"Ligue 1","2019-05-18","Ligue 1 (Matchweek 37)","Montpellier","3-4-1-2",60,446,580,77,13,4,26,710,17,16,25,11,0,8,38,95,"0","0","Nantes","4-3-3",40,243,379,64,11,3,13,521,20,13,31,40,1,12,28,79,"3","0","https://fbref.com/en/matches/cd5bb5dc/Montpellier-Nantes-May-18-2019-Ligue-1"
"Ligue 1","2018-09-29","Ligue 1 (Matchweek 8)","Strasbourg","3-4-1-2",49,354,475,75,11,0,7,584,16,16,18,17,3,11,24,85,"1","0","Dijon","3-4-3",51,374,485,77,17,5,10,601,21,15,28,19,2,5,23,67,"3","0","https://fbref.com/en/matches/e7139b66/Strasbourg-Dijon-September-29-2018-Ligue-1"
"Ligue 1","2018-12-22","Ligue 1 (Matchweek 19)","Strasbourg","3-5-2",46,375,468,80,15,2,13,585,30,16,14,18,0,7,28,86,"2","0","Nice","5-4-1",54,469,549,85,12,4,12,658,18,13,9,10,1,5,22,42,"0","0","https://fbref.com/en/matches/90ada5f7/Strasbourg-Nice-December-22-2018-Ligue-1"
"Ligue 1","2018-10-19","Ligue 1 (Matchweek 10)","Lyon","4-1-2-1-2",60,494,598,83,10,7,14,718,18,11,14,27,3,11,19,62,"1","0","Nîmes","4-3-3",40,311,407,76,11,7,25,542,24,13,13,21,0,7,18,49,"2","0","https://fbref.com/en/matches/79a991c1/Lyon-Nimes-October-19-2018-Ligue-1"
"Ligue 1","2019-05-24","Ligue 1 (Matchweek 38)","Reims","4-2-3-1",38,298,378,79,14,4,10,485,13,11,6,36,3,16,16,49,"2","0","Paris Saint-Germain","4-3-3",62,534,624,86,8,5,27,710,13,4,21,12,0,4,24,51,"1","0","https://fbref.com/en/matches/88aa2863/Reims-Paris-Saint-Germain-May-24-2019-Ligue-1"
"Ligue 1","2018-12-05","Ligue 1 (Matchweek 16)","Nantes","4-3-3",45,261,377,69,16,8,14,524,28,14,29,36,0,7,23,60,"0","0","Marseille","4-3-3",55,320,453,71,11,7,25,581,22,14,21,13,3,3,35,75,"1","0","https://fbref.com/en/matches/ffeee70d/Nantes-Marseille-December-5-2018-Ligue-1"
"Ligue 1","2018-09-22","Ligue 1 (Matchweek 6)","Saint-Étienne","4-2-3-1",54,347,480,72,3,9,26,618,23,17,17,29,3,7,23,86,"2","0","Caen","4-3-3",46,267,407,66,20,6,19,535,24,11,29,26,0,8,30,98,"3","0","https://fbref.com/en/matches/826586d6/Saint-Etienne-Caen-September-22-2018-Ligue-1"
"Ligue 1","2019-05-05","Ligue 1 (Matchweek 35)","Toulouse","4-2-3-1",55,321,425,76,20,6,26,538,20,6,13,21,2,10,16,80,"3","0","Rennes","4-2-3-1",45,238,345,69,15,6,23,449,18,11,17,16,1,8,23,68,"3","0","https://fbref.com/en/matches/d04cf8ad/Toulouse-Rennes-May-5-2019-Ligue-1"
