Matchday,Team,Home_Away,Formation,Player_Num,Player_Name,Starting,PlayerURL,Nation,Pos,Age,Min,Gls,Ast,CrdY,CrdR,MatchURL
2/6/2021,Lorient,Home,5/4/2001,11,Quentin Boisgard,Pitch,https://fbref.com/en/players/f6496133/Quentin-Boisgard,FRA,LM,23-326,60,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,13,Terem Moffi,Pitch,https://fbref.com/en/players/065dc209/Terem-Moffi,NGA,FW,21-257,67,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,14,Jérôme Hergault,Pitch,https://fbref.com/en/players/a84f9a4b/Jerome-Hergault,FRA,LB,34-307,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,15,Julien Laporte,Pitch,https://fbref.com/en/players/f066022d/Julien-Laporte,FRA,CB,27-094,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,17,Houboulang Mendes,Pitch,https://fbref.com/en/players/1545cf15/Houboulang-Mendes,GNB,RB,22-278,81,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,21,Jérémy Morel,Pitch,https://fbref.com/en/players/e97150c0/Jeremy-Morel,MAD,CB,36-310,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,23,Thomas Monconduit,Pitch,https://fbref.com/en/players/84d94b91/Thomas-Monconduit,FRA,CM,29-362,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,28,Armand Lauriente,Pitch,https://fbref.com/en/players/2d22cea7/Armand-Lauriente,FRA,RM,22-064,60,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,16,Teddy Bartouche-Selbonne,Bench,https://fbref.com/en/players/0d836298/Teddy-Bartouche-Selbonne,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,4,Tiago Ilori,Bench,https://fbref.com/en/players/a64b4786/Tiago-Ilori,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,8,Trevoh Chalobah,Bench,https://fbref.com/en/players/5515376c/Trevoh-Chalobah,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,10,Enzo Le Fée,Bench,https://fbref.com/en/players/6f806d99/Enzo-Le-Fee,FRA,RM,21-003,30,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,18,Fabien Lemoine,Bench,https://fbref.com/en/players/54d51e22/Fabien-Lemoine,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,19,Yoane Wissa,Bench,https://fbref.com/en/players/2500cef9/Yoane-Wissa,COD,LM,24-156,30,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,22,Jonathan Delaplace,Bench,https://fbref.com/en/players/79685569/Jonathan-Delaplace,FRA,RB,34-323,9,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,27,Adrian Grbić,Bench,https://fbref.com/en/players/4a987ffa/Adrian-Grbic,AUT,FW,24-186,23,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Lorient,Home,5/4/2001,29,Pierre-Yves Hamel,Bench,https://fbref.com/en/players/a99da9ec/Pierre-Yves-Hamel,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,1,Predrag Rajković,Pitch,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,SRB,GK,25-098,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,2,Wout Faes,Pitch,https://fbref.com/en/players/9c221d14/Wout-Faes,BEL,CB,22-309,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,3,Ghislain Konan,Pitch,https://fbref.com/en/players/6b2c894b/Ghislain-Konan,CIV,LB,25-041,74,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,5,Yunis Abdelhamid,Pitch,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,MAR,CB,33-131,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,7,Xavier Chavalerin,Pitch,https://fbref.com/en/players/279ddf6a/Xavier-Chavalerin,FRA,CM,29-336,90,0,0,1,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,8,Dereck Kutesa,Pitch,https://fbref.com/en/players/1b6862e8/Dereck-Kutesa,SUI,RM,23-062,62,0,0,1,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,11,Boulaye Dia,Pitch,https://fbref.com/en/players/244bc2c8/Boulaye-Dia,SEN,FW,24-082,81,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,14,Valon Berisha,Pitch,https://fbref.com/en/players/d5575935/Valon-Berisha,KVX,CM,27-365,62,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,23,Moreto Cassamã,Pitch,https://fbref.com/en/players/f54d2149/Moreto-Cassama,GNB,DM,22-356,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,24,Mathieu Cafaro,Pitch,https://fbref.com/en/players/2a657da0/Mathieu-Cafaro,FRA,LM,23-318,74,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,32,Thomas Foket,Pitch,https://fbref.com/en/players/90eb507d/Thomas-Foket,BEL,RB,26-134,90,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,16,Yehvann Diouf,Bench,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,9,Kaj Sierhuis,Bench,https://fbref.com/en/players/9c2b1f11/Kaj-Sierhuis,NED,FW,22-285,9,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,10,Arber Zeneli,Bench,https://fbref.com/en/players/095e4199/Arber-Zeneli,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,21,Nathanael Mbuku,Bench,https://fbref.com/en/players/46750e9c/Nathanael-Mbuku,FRA,CM,18-327,28,0,0,1,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,25,Moussa Doumbia,Bench,https://fbref.com/en/players/6481421d/Moussa-Doumbia,MLI,LM,26-175,16,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,27,El Bilal Touré,Bench,https://fbref.com/en/players/47c609d5/El-Bilal-Toure,MLI,RM,19-126,28,0,0,0,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,28,Thibault De Smet,Bench,https://fbref.com/en/players/5fdcb075/Thibault-De-Smet,BEL,LB,22-246,16,0,0,1,0,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,29,Dario Maresic,Bench,https://fbref.com/en/players/5d93ccee/Dario-Maresic,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
2/6/2021,Reims,Away,4-1-4-1,34,Mouhamadou Drammeh,Bench,https://fbref.com/en/players/309937e7/Mouhamadou-Drammeh,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/matches/efa9508b/Lorient-Reims-February-6-2021-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,1,Anthony Lopes,Pitch,https://fbref.com/en/players/f00de885/Anthony-Lopes,POR,GK,30-076,90,0,0,1,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,5,Jason Denayer,Pitch,https://fbref.com/en/players/47af88b8/Jason-Denayer,BEL,CB,25-171,90,0,0,0,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,6,Marcelo,Pitch,https://fbref.com/en/players/e3d0b0c4/Marcelo,BRA,CB,33-210,90,0,0,0,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,7,Karl Toko Ekambi,Pitch,https://fbref.com/en/players/5ceba7fc/Karl-Toko-Ekambi,CMR,LW,28-093,54,0,0,0,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,8,Houssem Aouar,Pitch,https://fbref.com/en/players/a5db0bec/Houssem-Aouar,ALG,LM,22-169,90,0,1,0,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,9,Moussa Dembélé,Pitch,https://fbref.com/en/players/e7986081/Moussa-Dembele,FRA,FW,24-157,77,0,0,0,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,11,Tino Kadewere,Pitch,https://fbref.com/en/players/7d08063d/Tino-Kadewere,ZIM,RW,24-346,90,0,0,0,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,14,Leo Dubois,Pitch,https://fbref.com/en/players/ff0ab48c/Leo-Dubois,FRA,RB,26-093,90,0,0,0,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,22,Mattia De Sciglio,Pitch,https://fbref.com/en/players/ae4e2852/Mattia-De-Sciglio,ITA,LB,28-057,54,0,0,1,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
12/16/2020,Lyon,Home,4/3/2003,25,Maxence Caqueret,Pitch,https://fbref.com/en/players/f81ef10d/Maxence-Caqueret,FRA,RM,20-305,54,0,0,0,0,https://fbref.com/en/matches/b1b2b42a/Lyon-Brest-December-16-2020-Ligue-1
