League_Name,Team_Name,Season,Player_Name,Scores
Ligue 1,Brest,2024,Hugo Magnetti,2
Ligue 1,Lorient,2024,Tosin Aiyegun,2
Ligue 1,Lorient,2024,Benjamin Mendy,2
Ligue 1,Lorient,2024,Laurent Abergel,2
Ligue 1,Lorient,2024,Tiemoué Bakayoko,2
Ligue 1,Lens,2024,Morgan Guilavogui,2
Ligue 1,Clermont Foot,2024,Elba Rashani,2
Ligue 1,Clermont Foot,2024,Grejohn Kyei,2
Ligue 1,Clermont Foot,2024,Jim Allevinah,2
Ligue 1,Le Havre,2024,Daler Kuzyaev,2
Ligue 1,Le Havre,2024,Gautier Lloris,2
Ligue 1,Le Havre,2024,Yassine Kechta,2
Ligue 1,Le Havre,2024,Abdoulaye Touré,2
Premier League,Manchester Utd,2024,Diogo Dalot,2
Premier League,Manchester Utd,2024,Harry Maguire,2
Premier League,Newcastle Utd,2024,Dan Burn,2
Premier League,Newcastle Utd,2024,Joelinton,2
Premier League,Newcastle Utd,2024,Sven Botman,2
Premier League,Fulham,2024,Adama Traoré,2
Premier League,Fulham,2024,Carlos Vinícius,2
Premier League,Fulham,2024,Tosin Adarabioyo,2
Premier League,Bournemouth,2024,Enes Ünal,2
Premier League,Bournemouth,2024,Philip Billing,2
Premier League,Bournemouth,2024,Luis Sinisterra,2
Premier League,Wolves,2024,Max Kilman,2
Premier League,Wolves,2024,Pedro Neto,2
Premier League,Wolves,2024,João Gomes,2
Premier League,Wolves,2024,Sasa Kalajdzic,2
Premier League,Wolves,2024,Rayan Aït-Nouri,2
Premier League,Wolves,2024,Jean-Ricner Bellegarde,2
Premier League,Liverpool,2024,Jarell Quansah,2
Premier League,Liverpool,2024,Virgil van Dijk,2
Premier League,Arsenal,2024,William Saliba,2
Premier League,Arsenal,2024,Takehiro Tomiyasu,2
Premier League,Brighton,2024,Ansu Fati,2
Premier League,Brighton,2024,Pervis Estupiñán,2
Premier League,Burnley,2024,Josh Cullen,2
Premier League,Burnley,2024,Jay Rodriguez,2
Premier League,Crystal Palace,2024,Jeffrey Schlupp,2
Premier League,Crystal Palace,2024,Tyrick Mitchell,2
Premier League,Crystal Palace,2024,Joachim Andersen,2
Premier League,Tottenham,2024,Timo Werner,2
Premier League,Tottenham,2024,Destiny Udogie,2
Premier League,Tottenham,2024,Giovani Lo Celso,2
Premier League,Everton,2024,Amadou Onana,2
Premier League,Everton,2024,Vitaliy Mykolenko,2
Premier League,Manchester City,2024,Rico Lewis,2
Premier League,Manchester City,2024,Nathan Aké,2
Premier League,Manchester City,2024,Manuel Akanji,2
Premier League,Chelsea,2024,Axel Disasi,2
Premier League,Sheffield Utd,2024,Anel Ahmedhodžić,2
Premier League,Aston Villa,2024,Matty Cash,2
Premier League,Aston Villa,2024,Pau Torres,2
Premier League,Aston Villa,2024,Álex Moreno,2
Premier League,Aston Villa,2024,Nicolò Zaniolo,2
Premier League,Aston Villa,2024,Youri Tielemans,2
Premier League,Brentford,2024,Ben Mee,2
Premier League,Brentford,2024,Kevin Schade,2
Premier League,Brentford,2024,Ethan Pinnock,2
Premier League,Brentford,2024,Kristoffer Ajer,2
Premier League,Brentford,2024,Christian Nørgaard,2
Premier League,Nott'ham Forest,2024,Danilo,2
Premier League,Nott'ham Forest,2024,Willy Boly,2
Premier League,Nott'ham Forest,2024,Nicolás Domínguez,2
Premier League,Luton Town,2024,Luke Berry,2
Premier League,Luton Town,2024,Jacob Brown,2
Premier League,Luton Town,2024,Gabriel Osho,2
Premier League,Luton Town,2024,Alfie Doughty,2
La Liga,Valencia,2024,Domingos André Ribeiro Almeida,2
La Liga,Celta Vigo,2024,Óscar Mingueza,2
La Liga,Girona,2024,Miguel Gutiérrez,2
La Liga,Girona,2024,Valery Fernández,2
La Liga,Sevilla,2024,Rafa Mir,2
La Liga,Sevilla,2024,Érik Lamela,2
La Liga,Sevilla,2024,Ivan Rakitić,2
La Liga,Athletic Club,2024,Unai Gómez,2
La Liga,Athletic Club,2024,Iker Muniain,2
La Liga,Athletic Club,2024,Asier Villalibre,2
La Liga,Barcelona,2024,Vitor Roque,2
La Liga,Barcelona,2024,João Cancelo,2
La Liga,Barcelona,2024,Frenkie de Jong,2
La Liga,Barcelona,2024,Andreas Christensen,2
La Liga,Alavés,2024,Rubén Duarte,2
La Liga,Alavés,2024,Carlos Vicente,2
La Liga,Atlético Madrid,2024,Axel Witsel,2
La Liga,Atlético Madrid,2024,Nahuel Molina,2
La Liga,Atlético Madrid,2024,Reinildo Mandava,2
La Liga,Getafe,2024,Juanmi Latasa,2
La Liga,Getafe,2024,Gastón Álvarez,2
La Liga,Getafe,2024,Óscar Rodríguez Arnaiz,2
La Liga,Las Palmas,2024,Juan Herzog,2
La Liga,Las Palmas,2024,Javier Muñoz,2
La Liga,Las Palmas,2024,Álex Suárez,2
La Liga,Las Palmas,2024,Jonathan Viera,2
La Liga,Las Palmas,2024,Francisco Jesús Crespo García,2
La Liga,Betis,2024,Marc Roca,2
La Liga,Betis,2024,Assane Diao,2
La Liga,Betis,2024,Aitor Ruibal,2
La Liga,Betis,2024,Guido Rodríguez,2
La Liga,Real Sociedad,2024,Sheraldo Becker,2
La Liga,Real Sociedad,2024,Robin Le Normand,2
La Liga,Real Sociedad,2024,Carlos Fernández,2
La Liga,Villarreal,2024,Alex Baena,2
La Liga,Villarreal,2024,Alberto Moreno,2
La Liga,Villarreal,2024,Ilias Akhomach,2
La Liga,Villarreal,2024,Santi Comesaña,2
La Liga,Villarreal,2024,Yerson Mosquera,2
La Liga,Real Madrid,2024,Luka Modrić,2
La Liga,Real Madrid,2024,Federico Valverde,2
La Liga,Rayo Vallecano,2024,Bebé,2
La Liga,Rayo Vallecano,2024,Jorge de Frutos,2
La Liga,Mallorca,2024,Sergi Darder,2
La Liga,Mallorca,2024,Dani Rodríguez,2
La Liga,Mallorca,2024,Matija Nastasić,2
La Liga,Granada,2024,Bruno Méndez,2
La Liga,Granada,2024,Facundo Pellistri,2
La Liga,Osasuna,2024,Aimar Oroz,2
La Liga,Osasuna,2024,José Arnaiz,2
La Liga,Cádiz,2024,Roger Martí,2
La Liga,Almería,2024,Sergio Akieme,2
La Liga,Almería,2024,Édgar González,2
Fußball-Bundesliga,Bayern Munich,2024,Alphonso Davies,2
Fußball-Bundesliga,Bayern Munich,2024,Matthijs de Ligt,2
Fußball-Bundesliga,Bayern Munich,2024,Aleksandar Pavlovic,2
Fußball-Bundesliga,Bayern Munich,2024,Eric Maxim Choupo-Moting,2
Fußball-Bundesliga,Mainz 05,2024,Anthony Caci,2
Fußball-Bundesliga,Mainz 05,2024,Ludovic Ajorque,2
Fußball-Bundesliga,Wolfsburg,2024,Joakim Mæhle,2
Fußball-Bundesliga,Wolfsburg,2024,Patrick Wimmer,2
Fußball-Bundesliga,Wolfsburg,2024,Yannick Gerhardt,2
Fußball-Bundesliga,Wolfsburg,2024,Maximilian Arnold,2
Fußball-Bundesliga,Hoffenheim,2024,Anton Stach,2
Fußball-Bundesliga,Hoffenheim,2024,John Brooks,2
Fußball-Bundesliga,Freiburg,2024,Merlin Röhl,2
Fußball-Bundesliga,M'Gladbach,2024,Nico Elvedi,2
Fußball-Bundesliga,M'Gladbach,2024,Julian Weigl,2
Fußball-Bundesliga,M'Gladbach,2024,Maximilian Wöber,2
Fußball-Bundesliga,Leverkusen,2024,Adam Hložek,2
Fußball-Bundesliga,Werder Bremen,2024,Niklas Stark,2
Fußball-Bundesliga,Werder Bremen,2024,Olivier Deman,2
Fußball-Bundesliga,Werder Bremen,2024,Nick Woltemade,2
Fußball-Bundesliga,Werder Bremen,2024,Miloš Veljković,2
Fußball-Bundesliga,Stuttgart,2024,Josha Vagnoman,2
Fußball-Bundesliga,Stuttgart,2024,Jeong Woo-yeong,2
Fußball-Bundesliga,Stuttgart,2024,Maximilian Mittelstädt,2
Fußball-Bundesliga,Eint Frankfurt,2024,Robin Koch,2
Fußball-Bundesliga,Eint Frankfurt,2024,Hugo Larsson,2
Fußball-Bundesliga,Eint Frankfurt,2024,Ellyes Skhiri,2
Fußball-Bundesliga,Eint Frankfurt,2024,Fares Chaïbi,2
Fußball-Bundesliga,Augsburg,2024,Arne Maier,2
Fußball-Bundesliga,Augsburg,2024,Sven Michel,2
Fußball-Bundesliga,Augsburg,2024,Fredrik Jensen,2
Fußball-Bundesliga,Augsburg,2024,Dion Drena Beljo,2
Fußball-Bundesliga,Augsburg,2024,Elvis Rexhbeçaj,2
