Match_Goal_Key,Match,Team,Player_Name,Minute,Type_Of_Goal
153225,10954,131,Hakan Çalhanoğlu,29,Normal
153237,11034,124,Ciro Immobile,17,Penalty
153242,11034,133,Andrea Petagna,63,Normal
153251,11034,133,Jasmin Kurtić,90+2,Normal
153253,11118,126,Luca Gagliano,8,Normal
153256,11118,126,Giovanni Simeone,45+2,Normal
153267,11153,119,Stefano Okaka,27,Normal
153287,10964,130,Goran Pandev,43,Normal
153299,10816,124,Ciro Immobile,37,Normal
153301,10816,124,Joaquín Correa,56,Normal
153303,10816,124,Ciro Immobile,62,Normal
153311,11078,120,Antonio Candreva,37,Normal
153315,11078,120,Cristiano Biraghi,55,Normal
153316,11078,120,Alexis Sánchez,60,Normal
153322,11078,120,Roberto Gagliardini,74,Normal
153329,11082,137,Gervinho,18,Normal
153330,11082,137,Bartosz Bereszyński,40,OG
153333,11082,122,Julian Chabot,48,Normal
153337,11082,122,Fabio Quagliarella,69,Normal
153338,11082,122,Federico Bonazzoli,78,Normal
153347,11100,137,Matteo Darmian,59,Normal
153348,11100,139,Daniele Dessena,62,Normal
153355,11100,137,Dejan Kulusevski,81,Normal
153359,10999,139,Alfredo Donnarumma,17,Penalty
153361,10999,129,Germán Pezzella,29,Normal
153378,10837,124,Ciro Immobile,25,Normal
153379,10837,131,Bastos,28,OG
153391,10837,124,Joaquín Correa,83,Normal
153395,10812,133,Federico Di Francesco,6,Normal
153396,10812,133,Andrea Petagna,26,Normal
153397,10812,118,Robin Gosens,34,Normal
153403,10812,118,Luis Muriel,70,Normal
153405,10812,118,Luis Muriel,76,Normal
153411,11046,118,Luis Muriel,27,Penalty
153427,11024,125,Grégoire Defrel,24,Penalty
153428,11024,125,Grégoire Defrel,35,Normal
153435,11024,125,Mert Müldür,61,Normal
153445,11024,129,Patrick Cutrone,90,Normal
153447,11067,131,Theo Hernández,20,Normal
153448,11067,134,Giovanni Di Lorenzo,34,Normal
153450,11067,134,Dries Mertens,60,Normal
153455,11067,131,Franck Kessié,73,Penalty
153464,11158,137,Dejan Kulusevski,2,Normal
153465,11158,135,Cristian Ansaldi,12,Normal
153468,11158,137,Unknown,31,Penalty
153471,11158,135,Andrea Belotti,43,Penalty
153472,11158,137,Andreas Cornelius,45+3,Normal
153480,11158,137,Roberto Inglese,88,Normal
153481,11023,133,Mattia Valoti,13,Normal
153483,11023,133,Sergio Floccari,30,Normal
153495,11023,131,Rafael Leão,79,Normal
153498,11023,131,Francesco Vicari,90+4,OG
153500,11090,131,Zlatan Ibrahimović,19,Normal
153505,11090,125,Francesco Caputo,42,Penalty
153506,11090,131,Zlatan Ibrahimović,45+2,Normal
153526,11179,125,Filip Đuričić,50,Normal
153536,11169,118,Luis Muriel,23,Normal
153538,11169,118,Luis Muriel,28,Normal
153540,11169,118,Papu Gómez,37,Normal
153548,11169,124,Ciro Immobile,69,Penalty
153549,11169,124,Joaquín Correa,70,Normal
153553,11169,124,Ciro Immobile,90+2,Penalty
153560,10896,139,Mario Balotelli,72,Normal
153566,10896,137,Alberto Grassi,90+2,Normal
153568,10991,118,Giulio Donati,17,OG
153569,10991,118,Duván Zapata,22,Normal
153570,10991,140,Riccardo Saponara,29,Normal
153571,10991,140,Giulio Donati,39,Normal
153573,10991,118,Josip Iličić,47,Normal
153574,10991,118,Duván Zapata,54,Normal
153576,10991,118,Duván Zapata,62,Normal
153584,10991,118,Luis Muriel,87,Normal
153585,10991,118,Ruslan Malinovskyi,90+1,Normal
153594,10966,139,Dimitri Bisoli,81,Normal
153596,10966,119,Rodrigo De Paul,90+2,Normal
153604,10828,131,Suso,63,Normal
153612,11124,129,Alfred Duncan,30,Normal
153613,11124,133,Marco D'Alessandro,39,Normal
153623,11124,129,Christian Kouamé,89,Normal
153625,11124,129,Erick Pulgar,90+4,Penalty
153630,10822,116,Leonardo Bonucci,36,Normal
153632,10822,130,Christian Kouamé,40,Normal
153645,10822,116,Cristiano Ronaldo,90+6,Penalty
153646,11113,124,Joaquín Correa,17,Normal
153653,11113,124,Ciro Immobile,82,Normal
153662,11022,121,Musa Barrow,45+3,Normal
153663,11022,126,Giovanni Simeone,46,Normal
153676,11048,134,José Callejón,55,Normal
153677,11048,128,Henrikh Mkhitaryan,60,Normal
153687,11048,134,Lorenzo Insigne,82,Normal
153689,10862,116,Leonardo Bonucci,20,Normal
153690,10862,125,Jeremie Boga,22,Normal
153692,10862,125,Francesco Caputo,47,Normal
153697,10862,116,Cristiano Ronaldo,68,Penalty
153705,11171,116,Cristiano Ronaldo,19,Normal
153707,11171,121,Danilo Larangeira,26,Normal
153709,11171,116,Miralem Pjanić,54,Normal
153719,11049,124,Felipe Caicedo,5,Normal
153721,11049,140,Khouma Babacar,30,Normal
153724,11049,140,Unknown,45+5,Penalty
153728,11049,140,Fabio Lucioni,47,Normal
153740,10857,126,João Pedro,30,Penalty
153743,10857,126,Radja Nainggolan,67,Normal
153748,10857,140,Gianluca Lapadula,83,Penalty
153754,10857,140,Marco Calderoni,90+1,Normal
153757,10825,128,Nicolò Zaniolo,13,Normal
